cpu_thermal,sbs-1-000b,sbs-1-000b/current_now,CROS_USB_PD_CHARGER0/voltage_now,sbs-1-000b/voltage_now,sbs-1-000b/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,cpu2/scaling_cur_freq,cpu3/scaling_cur_freq,
38743,26000,-412000,0,11837000,64,1105000,1105000,702000,702000,
38860,26000,-427000,0,11831000,64,1105000,1105000,507000,507000,
38743,26000,-412000,0,11839000,64,1209000,1209000,702000,702000,
38743,26000,-407000,0,11838000,64,1105000,1105000,2106000,2106000,
38743,26000,-412000,0,11837000,64,507000,507000,2106000,2106000,
38626,26000,-401000,0,11838000,64,1001000,1001000,702000,702000,
38626,26000,-398000,0,11830000,64,1105000,1105000,507000,507000,
44254,26000,-532000,0,11798000,64,1105000,1105000,2106000,2106000,
39564,26000,-406000,0,11833000,64,507000,507000,1001000,1001000,
39095,26000,-402000,0,11835000,64,507000,507000,2106000,2106000,
38860,26000,-396000,0,11844000,64,1703000,1703000,702000,702000,
39212,26000,-400000,0,11829000,64,1001000,1001000,2106000,2106000,
39095,26000,-400000,0,11841000,64,1209000,1209000,702000,702000,
38743,26000,-403000,0,11846000,64,1001000,1001000,507000,507000,
38860,26000,-401000,0,11842000,64,1001000,1001000,507000,507000,
38860,26000,-404000,0,11837000,64,1209000,1209000,507000,507000,
39212,26000,-410000,0,11839000,64,1300000,1300000,507000,507000,
38743,26000,-407000,0,11840000,64,1001000,1001000,1001000,1001000,
39095,26100,-402000,0,11836000,64,1508000,1508000,702000,702000,
38860,26100,-407000,0,11834000,64,507000,507000,1209000,1209000,
38977,26100,-403000,0,11837000,64,507000,507000,1001000,1001000,
38977,26100,-404000,0,11840000,64,1508000,1508000,2106000,2106000,
38860,26100,-413000,0,11834000,64,1105000,1105000,1001000,1001000,
39095,26100,-402000,0,11839000,64,702000,702000,507000,507000,
38743,26100,-404000,0,11845000,64,1001000,1001000,507000,507000,
38860,26100,-400000,0,11843000,64,507000,507000,1001000,1001000,
38860,26100,-406000,0,11842000,64,507000,507000,1001000,1001000,
38743,26100,-403000,0,11840000,64,507000,507000,2106000,2106000,
38743,26100,-403000,0,11844000,64,507000,507000,2106000,2106000,
