INT3400 Thermal,TSR0,TSR1,TSR2,B0DB,soc_dts0,soc_dts1,BAT0/current_now,BAT0/voltage_now,BAT0/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,
20000,25800,22800,23800,32000,29000,31000,332000,11672000,58,2582300,1971867,
20000,25800,23800,23800,32000,29000,31000,332000,11666000,58,2582300,2413942,
20000,25800,23800,23800,31000,29000,31000,331000,11673000,58,2582300,2080807,
20000,25800,23800,23800,31000,29000,31000,332000,11668000,58,2581844,2581388,
20000,25800,23800,23800,32000,29000,31000,343000,11664000,58,2581974,2451883,
20000,25800,23800,23800,32000,29000,31000,330000,11668000,58,2498479,2505442,
20000,25800,23800,23800,31000,29000,31000,346000,11663000,58,2582300,2062781,
20000,25800,23800,23800,32000,29000,31000,361000,11660000,58,2582300,1985078,
20000,25800,23800,23800,32000,29000,31000,331000,11668000,58,2582300,2436525,
20000,25800,23800,23800,31000,29000,31000,332000,11669000,58,2582300,1906593,
20000,25800,23800,23800,32000,29000,31000,334000,11667000,58,2582300,2081198,
20000,25800,23800,23800,32000,29000,31000,332000,11668000,58,2582039,1995230,
20000,25800,23800,23800,32000,29000,31000,332000,11668000,58,2582039,1997703,
20000,25800,23800,23800,32000,29000,31000,331000,11669000,58,2581909,1990414,
20000,25800,23800,23800,32000,29000,31000,332000,11667000,58,2582300,2581649,
20000,25800,23800,23800,32000,29000,31000,334000,11664000,58,2582300,2581193,
20000,25800,23800,23800,32000,29000,31000,341000,11666000,58,2582300,2430993,
20000,25800,23800,23800,32000,29000,31000,344000,11662000,58,2582300,1885703,
20000,25800,23800,23800,31000,29000,31000,338000,11665000,58,2581649,2413812,
20000,25800,23800,23800,31000,29000,31000,332000,11666000,58,2582300,2070265,
20000,25800,23800,23800,32000,29000,31000,331000,11664000,58,2582300,2581323,
20000,25800,23800,23800,32000,29000,31000,334000,11666000,58,2582300,2060633,
20000,25800,23800,23800,32000,29000,31000,332000,11664000,58,2498153,2415244,
20000,25800,23800,23800,31000,29000,31000,332000,11666000,58,2578330,2081198,
20000,25800,23800,23800,32000,29000,31000,336000,11666000,58,2582234,2582300,
20000,25800,23800,23800,32000,29000,31000,334000,11666000,58,2582039,2581584,
20000,25800,23800,23800,32000,29000,31000,334000,11660000,58,2582300,2164823,
20000,25800,23800,23800,32000,29000,31000,334000,11660000,58,2581909,2581323,
20000,25800,23800,23800,32000,29000,31000,334000,11663000,58,2581909,2029070,
20000,25800,23800,23800,32000,29000,31000,336000,11661000,58,2582039,2079311,
20000,25800,23800,23800,32000,29000,31000,335000,11663000,58,2582104,2581714,
20000,25800,23800,23800,32000,29000,31000,350000,11660000,58,2582300,1997898,
20000,25800,23800,23800,32000,29000,31000,342000,11660000,58,2582300,2496136,
20000,25800,23800,23800,32000,29000,31000,355000,11660000,58,2582234,2579111,
20000,25800,23800,23800,32000,29000,31000,331000,11662000,58,2582300,1931063,
20000,25800,23800,23800,35000,29000,31000,332000,11656000,58,2582234,2582430,
20000,25800,23800,23800,33000,29000,31000,390000,11647000,58,2582300,2582300,
20000,25800,23800,23800,34000,29000,32000,390000,11646000,58,2582169,2582300,
20000,25800,23800,23800,38000,30000,33000,394000,11610000,58,2582300,2582300,
20000,25800,23800,23800,34000,29000,32000,397000,11645000,58,2582560,2582300,
20000,25800,23800,23800,33000,29000,32000,410000,11642000,58,2582300,2582300,
20000,25800,23800,23800,34000,30000,32000,518000,11612000,58,2582300,2582300,
20000,26800,23800,23800,33000,29000,32000,416000,11609000,58,2582300,2078660,
20000,26800,23800,23800,34000,30000,32000,395000,11640000,58,2582300,2582300,
20000,26800,23800,23800,32000,29000,32000,365000,11643000,58,2582300,2498609,
20000,26800,23800,23800,32000,29000,31000,348000,11654000,58,2582300,2467111,
20000,26800,23800,23800,32000,29000,31000,349000,11654000,58,2582625,2582039,
20000,26800,23800,23800,39000,30000,34000,561000,11589000,58,2582300,2582300,
20000,26800,23800,23800,37000,31000,35000,582000,11586000,58,2582300,2582169,
20000,26800,23800,23800,34000,30000,35000,407000,11631000,58,2582300,2582300,
20000,26800,23800,23800,33000,30000,32000,497000,11618000,58,2581258,2056078,
20000,26800,23800,23800,33000,30000,32000,353000,11649000,58,2582300,2582300,
20000,26800,23800,23800,33000,30000,32000,343000,11650000,58,1996271,2582300,
20000,26800,23800,23800,32000,30000,31000,349000,11646000,58,2580868,2486179,
20000,26800,23800,23800,33000,29000,31000,354000,11651000,58,2582234,2331879,
20000,26800,23800,23800,32000,29000,32000,352000,11638000,58,2582300,2034342,
20000,26800,23800,23800,32000,29000,32000,343000,11646000,58,2582300,2581258,
20000,26800,23800,23800,33000,29000,31000,346000,11644000,58,2582300,2165084,
20000,26800,23800,23800,32000,29000,31000,341000,11641000,58,2581519,2579892,
20000,26800,23800,23800,32000,29000,32000,344000,11648000,58,2582300,2414593,
20000,26800,23800,23800,32000,29000,32000,335000,11650000,58,2577939,2579696,
20000,26800,23800,23800,32000,29000,32000,340000,11650000,58,2581193,2582300,
20000,26800,23800,23800,32000,29000,32000,334000,11652000,58,2582300,2581649,
20000,26800,23800,23800,32000,29000,32000,335000,11650000,58,2582300,1913752,
20000,26800,23800,23800,32000,29000,32000,336000,11650000,58,2582300,2582300,
20000,26800,23800,23800,32000,29000,32000,334000,11648000,58,2582104,2465549,
20000,26800,23800,23800,32000,29000,32000,334000,11648000,58,2580933,2422142,
20000,26800,23800,23800,32000,29000,32000,341000,11652000,58,2582300,2407955,
20000,26800,23800,23800,32000,29000,32000,349000,11648000,58,2582300,2581974,
20000,26800,23800,23800,32000,29000,32000,337000,11646000,58,2582300,2581453,
20000,26800,23800,23800,33000,29000,32000,331000,11651000,58,2582300,1918503,
20000,26800,23800,23800,32000,29000,32000,332000,11643000,58,2580477,2036880,
20000,26800,23800,23800,33000,29000,32000,332000,11650000,58,2582300,1997898,
20000,26800,23800,23800,32000,29000,32000,332000,11651000,58,2164107,2498609,
20000,26800,23800,23800,32000,29000,32000,335000,11651000,58,2582300,2580022,
20000,26800,23800,23800,32000,29000,31000,342000,11649000,58,2582300,2077228,
20000,26800,23800,23800,32000,29000,31000,350000,11648000,58,2581714,2064408,
20000,26800,23800,23800,33000,29000,31000,356000,11649000,58,2582300,2581844,
20000,26800,23800,23800,32000,29000,32000,392000,11646000,58,2581714,2503230,
20000,26800,23800,23800,32000,29000,31000,336000,11650000,58,2582169,2508826,
20000,26800,23800,23800,32000,29000,31000,335000,11645000,58,2582300,2026337,
20000,26800,23800,23800,32000,29000,31000,338000,11645000,58,2582300,2497373,
20000,26800,23800,23800,32000,29000,31000,338000,11647000,58,2582300,2581844,
20000,26800,23800,23800,33000,29000,31000,335000,11643000,58,2582300,2498088,
20000,26800,23800,23800,32000,29000,31000,344000,11644000,58,2582039,2581128,
20000,26800,23800,23800,33000,29000,31000,335000,11644000,58,2582300,2081133,
20000,26800,23800,23800,32000,29000,31000,335000,11646000,58,2582300,2581388,
20000,26800,23800,23800,32000,29000,31000,335000,11645000,58,2582300,1996206,
20000,26800,23800,23800,32000,29000,31000,344000,11645000,58,2582300,2498479,
20000,26800,23800,23800,32000,29000,31000,334000,11644000,58,2582300,2226257,
20000,26800,23800,23800,32000,29000,31000,334000,11644000,58,2582104,2582169,
20000,26800,23800,23800,32000,29000,31000,334000,11642000,58,2580217,1960738,
20000,26800,23800,23800,33000,29000,31000,334000,11640000,58,2582300,2582300,
